x,y,sector,localidad,s11_n
4881930.52847137,2068653.79316984,No oficial,Santa Fe,
4880875.95003464,2067644.78680478,No oficial,Santa Fe,
4881955.30037673,2065121.46838416,No oficial,Santa Fe,38
4881565.56544322,2065024.77903754,Oficial,Santa Fe,76
4881720.57657342,2065006.82547091,Oficial,Santa Fe,
4881735.39452387,2065431.17440976,Oficial,Santa Fe,
4880420.6737529,2065227.99487427,No oficial,Santa Fe,40
4881517.59348194,2064955.24307291,No oficial,Santa Fe,
4881477.73018886,2069084.82394685,No oficial,Santa Fe,66
4881771.6140171,2068921.92866458,No oficial,Santa Fe,56
4881990.6359693,2065298.17715569,No oficial,Santa Fe,30
4878581.87667098,2062982.44668563,No oficial,San Cristobal,232
4881337.55289718,2062856.88017982,Oficial,San Cristobal,
4878603.71556078,2063219.52112451,Oficial,San Cristobal,102
4878445.63108065,2063258.99866112,Oficial,San Cristobal,
4880822.44549824,2062976.10861824,Oficial,San Cristobal,
4879769.9865153,2060453.57023417,Oficial,San Cristobal,184
4879614.94717449,2058752.10271708,Oficial,San Cristobal,186
4879231.18549803,2058877.15327948,Oficial,San Cristobal,
4879249.93057884,2058891.15983935,Oficial,San Cristobal,
4879685.81648007,2060362.45090439,Oficial,San Cristobal,254
4879544.47647743,2059705.29505789,Oficial,San Cristobal,
4879177.42515477,2060197.06097726,Oficial,San Cristobal,
4880304.46248945,2063035.74323998,Oficial,San Cristobal,262
4880147.25924325,2062987.46540477,Oficial,San Cristobal,
4879973.56454551,2063269.58665794,Oficial,San Cristobal,
4879834.58694253,2062229.01046019,Oficial,San Cristobal,50
4879924.9503481,2061913.70316644,Oficial,San Cristobal,
4879354.02453775,2062715.49691628,Oficial,San Cristobal,154
4879175.55263886,2062383.04868554,Oficial,San Cristobal,
4879711.50284563,2061168.20663455,Oficial,San Cristobal,372
4879362.61663903,2060939.27466521,Oficial,San Cristobal,
4879984.56839652,2061375.89559321,Oficial,San Cristobal,
4878884.50455714,2058701.07132209,Oficial,San Cristobal,68
4879153.46827046,2058970.61596225,Oficial,San Cristobal,
4877919.16042412,2061894.58093743,Oficial,San Cristobal,62
4878717.38132972,2061619.10826043,Oficial,San Cristobal,72
4878810.63424664,2061941.86627118,Oficial,San Cristobal,92
4879305.15947687,2061481.36435356,Oficial,San Cristobal,
4878549.89553357,2061007.51040805,Oficial,San Cristobal,134
4878840.54609808,2060417.16776511,Oficial,San Cristobal,
4878756.1263514,2062543.0325126,Oficial,San Cristobal,222
4878591.48350975,2062635.33657402,Oficial,San Cristobal,
4878751.43781817,2061111.81446631,Oficial,San Cristobal,218
4878716.21470686,2061331.72854948,Oficial,San Cristobal,
4877902.20909193,2062587.2839916,Oficial,San Cristobal,188
4877804.44468628,2062415.48911259,Oficial,San Cristobal,
4879647.93280199,2063810.15249043,No oficial,San Cristobal,64
4878297.51724037,2060644.9665131,Oficial,San Cristobal,74
4877920.10033504,2060451.06195245,Oficial,San Cristobal,
4878164.21996482,2060235.9284812,Oficial,San Cristobal,
4878715.70442468,2059889.83392477,Oficial,San Cristobal,
4880177.34538441,2059922.09759226,Oficial,San Cristobal,108
4879927.88837633,2059490.01952022,Oficial,San Cristobal,
4879947.23588669,2059818.02455223,Oficial,San Cristobal,
4878429.75254144,2062760.76127604,Oficial,San Cristobal,202
4879647.46992971,2063214.5863886,Oficial,San Cristobal,340
4878569.35408384,2061512.22953349,Oficial,San Cristobal,164
4877999.78978439,2061775.88293916,Oficial,San Cristobal,
4879459.13470141,2062538.1392761,Oficial,San Cristobal,228
4879320.69791931,2062138.76109395,Oficial,San Cristobal,
4879520.79369205,2062134.42776318,Oficial,San Cristobal,
4880213.44376204,2063834.95105651,Oficial,San Cristobal,64
4880567.91046723,2063623.82387112,Oficial,San Cristobal,
4879139.20393357,2057829.10749775,Oficial,San Cristobal,90
4879368.32750833,2057526.40796107,Oficial,San Cristobal,
4879141.08027649,2063580.82296657,Oficial,San Cristobal,308
4879794.82496685,2063856.31975512,Oficial,San Cristobal,
4880304.4213387,2063379.04533132,Oficial,San Cristobal,
4879400.61460717,2063617.80851999,Oficial,San Cristobal,
4878507.21168869,2061090.30983981,Oficial,San Cristobal,266
4879403.61078321,2058440.7392658,Oficial,San Cristobal,92
4878779.62761664,2063764.78423798,Oficial,San Cristobal,132
4878536.01008934,2063514.67302746,Oficial,San Cristobal,
4878490.10723897,2059918.53901262,Oficial,San Cristobal,214
4879319.14429674,2061440.24679116,Oficial,San Cristobal,178
4879038.658494,2064230.8979045,Oficial,San Cristobal,490
4879480.4851035,2058309.71856276,Oficial,San Cristobal,
4879402.46518808,2064097.78015164,No oficial,San Cristobal,
4879387.05214937,2060125.37430198,No oficial,San Cristobal,76
4879168.49840488,2063763.26291218,No oficial,San Cristobal,98
4879140.81481935,2063390.48470553,No oficial,San Cristobal,
4878846.80231067,2063580.51974362,No oficial,San Cristobal,160
4878916.13528813,2060981.99819438,No oficial,San Cristobal,132
4878717.62307088,2060855.87419375,No oficial,San Cristobal,52
4879323.60381358,2064141.84829876,No oficial,San Cristobal,74
4879218.69298775,2064391.39067286,No oficial,San Cristobal,176
4879378.48790928,2062600.26942395,No oficial,San Cristobal,
4879564.4136314,2063927.70585584,No oficial,San Cristobal,50
4878824.37579674,2061012.78264585,No oficial,San Cristobal,110
4880215.62767524,2064252.88469832,No oficial,San Cristobal,
4879617.57071505,2064360.39825138,No oficial,San Cristobal,58
4879488.27847309,2058988.54154536,No oficial,San Cristobal,26
4879699.53958146,2058860.00336036,No oficial,San Cristobal,108
4878619.11993093,2060919.87140466,No oficial,San Cristobal,110
4879068.69746837,2063287.59205228,No oficial,San Cristobal,
4879544.80082082,2058949.81375546,No oficial,San Cristobal,
4878902.53110159,2062012.01233077,No oficial,San Cristobal,
4879185.83302049,2062645.28937863,No oficial,San Cristobal,
4879277.84345233,2062453.25862464,No oficial,San Cristobal,2
4879827.67273269,2060488.36871655,No oficial,San Cristobal,72
4879509.3042345,2064664.3128318,No oficial,San Cristobal,
4879036.13963109,2061736.91373024,No oficial,San Cristobal,
4879291.41062852,2064158.98796506,No oficial,San Cristobal,
4879717.07796665,2062711.74986689,No oficial,San Cristobal,
4880160.22763492,2063210.17752911,No oficial,San Cristobal,64
4879811.84823518,2064044.57190461,No oficial,San Cristobal,
4879321.94555019,2058865.90600531,No oficial,San Cristobal,
4879050.96720053,2061170.04512056,No oficial,San Cristobal,
4879042.98716658,2063307.69909509,No oficial,San Cristobal,
4879675.16130694,2059507.86507837,No oficial,San Cristobal,32
4879898.97940341,2063754.93218934,No oficial,San Cristobal,
4878974.49955605,2063885.90722239,No oficial,San Cristobal,
4879221.33070128,2060640.88351692,No oficial,San Cristobal,36
4878810.50639965,2060599.47057495,No oficial,San Cristobal,220
4878589.46813823,2060837.35670401,No oficial,San Cristobal,
4878904.52380208,2061446.68971158,No oficial,San Cristobal,
4878276.51155538,2060370.7595156,No oficial,San Cristobal,
4879083.41861509,2060160.00836115,No oficial,San Cristobal,
4879031.34602156,2061026.71092267,No oficial,San Cristobal,
4879887.90074947,2058655.95110094,No oficial,San Cristobal,30
4878309.3621924,2061049.63760238,No oficial,San Cristobal,
4879546.39110149,2064329.53676722,No oficial,San Cristobal,
4878939.72539441,2060186.41692848,No oficial,San Cristobal,
4879025.65896474,2059653.18656489,No oficial,San Cristobal,
4879325.57855289,2061204.11769251,No oficial,San Cristobal,
4879614.96155579,2059328.13835308,No oficial,San Cristobal,
4878829.80372539,2059804.04726034,No oficial,San Cristobal,
4879685.95433491,2064006.80867861,No oficial,San Cristobal,354
4878399.75346436,2063403.13015088,No oficial,San Cristobal,244
4879784.54411555,2060337.78924819,No oficial,San Cristobal,
4879781.99885259,2063759.56732307,No oficial,San Cristobal,
4878904.91672932,2061491.57160999,No oficial,San Cristobal,16
4879066.93957836,2060996.29151577,No oficial,San Cristobal,12
4878303.98732079,2063097.91050467,No oficial,San Cristobal,
4878169.14761338,2061184.77999863,No oficial,San Cristobal,
4878182.43954371,2061939.90586422,No oficial,San Cristobal,
4879188.64824327,2058027.18639966,No oficial,San Cristobal,84
4876517.2324914,2056920.07167082,Oficial,Usme,128
4876284.85159469,2058137.62331578,Oficial,Usme,70
4876281.27116862,2057489.47837844,Oficial,Usme,170
4879010.65092812,2056822.13691037,Oficial,Usme,
4879100.02624016,2056842.95601628,Oficial,Usme,110
4877956.75017675,2055171.68333859,Oficial,Usme,246
4877530.1364953,2055034.48799372,Oficial,Usme,
4879011.12289603,2057099.29200894,Oficial,Usme,92
4877046.05114786,2055175.79455308,Oficial,Usme,136
4876815.68764924,2055177.14514855,Oficial,Usme,
4875543.08140467,2057918.67673294,Oficial,Usme,178
4875795.47992198,2058140.40117909,Oficial,Usme,198
4876154.43072124,2056095.19351682,Oficial,Usme,176
4876102.44716944,2054792.91787473,Oficial,Usme,112
4876391.27701077,2054822.08008003,Oficial,Usme,
4876442.364902,2054614.47221203,Oficial,Usme,
4877605.0820308,2056113.11192556,Oficial,Usme,326
4877737.46778821,2055846.66600329,Oficial,Usme,
4876377.37500087,2057321.52978162,Oficial,Usme,190
4876722.18186903,2055647.65956524,Oficial,Usme,120
4877371.91465088,2056699.89135514,Oficial,Usme,520
4876443.09705105,2056652.89645704,Oficial,Usme,
4876805.60358229,2056042.66635806,Oficial,Usme,268
4877236.41194162,2055649.75457013,Oficial,Usme,198
4875981.47705845,2055534.1629809,Oficial,Usme,136
4877542.05073743,2055009.65104582,Oficial,Usme,174
4876654.23728568,2055392.35834047,Oficial,Usme,76
4875837.57682739,2056756.70906553,Oficial,Usme,180
4876347.64615969,2058896.8207069,Oficial,Usme,296
4876521.94489431,2054248.38622141,Oficial,Usme,140
4876338.92063468,2054981.61224775,Oficial,Usme,232
4876152.62040069,2055509.66012516,Oficial,Usme,76
4876280.34023004,2055359.75542522,Oficial,Usme,
