"divipola","municipio","departamento","area_elipsoide_km2","area_3116_km2","area_9377_km2","area_3857_km2","lon_centroide","lat_centroide"
"68385","Land<U+00E1>zuri","Santander",590.2130366744,590.2261988363,589.3885394515,601.4031172557,-73.8186952111,6.3314875401
"68397","La Paz","Santander",284.3295454911,284.346973819,283.909074738,289.5979317578,-73.629764768,6.2173676326
"68406","Lebr<U+00ED>ja","Santander",550.3299444713,550.4332508391,549.4644876691,562.7735322688,-73.291370847,7.2040500585
"68418","Los Santos","Santander",290.0425518633,290.1251882293,289.5798611071,296.1085502381,-73.1078514835,6.8121609502
"68425","Macaravita","Santander",102.8481418105,102.9175090126,102.6890159472,104.8730986879,-72.5853672813,6.5137434024
"47058","Ariguan<U+00ED>","Magdalena",1131.7403537304,1131.7442441249,1130.3299080714,1173.1481916106,-74.0845942326,9.8342637639
"47161","Cerro San Antonio","Magdalena",177.1669918832,177.1961165021,177.0577654309,184.16553701,-74.8198115496,10.2937317866
"47170","Chibolo","Magdalena",536.510969877,536.5437409816,536.0244797632,557.0341763988,-74.5260726963,10.0995148102
"47189","Ci<U+00E9>naga","Magdalena",1324.7622613309,1324.7671786741,1323.073208275,1382.392339007,-74.0427519393,10.8892095379
"47205","Concordia","Magdalena",109.4676765103,109.4836947105,109.3953264013,113.7486989876,-74.7780989754,10.2328494569
"47245","El Banco","Magdalena",814.8501075546,814.85401593,813.7826090788,841.1774848997,-73.9810455308,9.1149166824
"47258","El Pi<U+00F1>on","Magdalena",557.0816424179,557.1424143145,556.6568209564,579.2677603494,-74.6781550438,10.3431072712
"47268","El Ret<U+00E9>n","Magdalena",262.1717143401,262.1767884634,261.8888702462,273.1643460697,-74.3251473739,10.6596169893
"47288","Fundaci<U+00F3>n","Magdalena",971.8812775594,971.9012570971,970.5610174319,1011.3307399546,-73.8841156472,10.4594115689
"47318","Guamal","Magdalena",564.490903847,564.4923807576,563.8076276874,583.1611483935,-74.139699483,9.2479956297
"47460","Nueva Granada","Magdalena",842.0340472679,842.0509788236,841.1304742899,872.3335917571,-74.3283891517,9.7359769084
"47541","Pedraza","Magdalena",325.424563507,325.4799267573,325.228530055,337.9867589148,-74.8317796659,10.1542961684
"47545","Piji<U+00F1>o del Carmen","Magdalena",661.5564266272,661.5641131701,660.7633442764,684.5402193269,-74.1448793352,9.5307619774
"47551","Pivijay","Magdalena",1640.3834033568,1640.4444644921,1638.7356977528,1706.6847417929,-74.4125108159,10.4330235297
"47555","Plato","Magdalena",1457.2136292523,1457.3383080626,1456.0006199632,1509.9502820118,-74.6018456607,9.7694365164
"47570","Puebloviejo","Magdalena",675.4574706784,675.4743156463,674.747199767,704.6459617924,-74.3605692127,10.8475759031
"47605","Remolino","Magdalena",594.88560931,594.9313428962,594.3751127629,619.7839362392,-74.5810692575,10.6486041213
"47660","Sabanas de San Angel","Magdalena",1238.9511430435,1238.9672028344,1237.5606921246,1286.3936387973,-74.2644387912,10.1053093215
"47675","Salamina","Magdalena",170.4574812341,170.4785993788,170.3347537936,177.4396534004,-74.722973769,10.5153792098
"47692","San Sebasti<U+00E1>n de Buenavista","Magdalena",437.6425536782,437.645560531,437.1318878159,452.3841450434,-74.2012480155,9.3525540165
