proceso,t
hawkes,545.028160541097
hawkes,545.224068835344
hawkes,546.079788837866
hawkes,546.30519945751
hawkes,546.754168420492
hawkes,546.812001744867
hawkes,546.823376609682
hawkes,547.106298382446
hawkes,547.196745020473
hawkes,547.260734232523
hawkes,548.1323457415
hawkes,549.797149617892
hawkes,550.450567230491
hawkes,552.231906838868
hawkes,553.161563818593
hawkes,553.544235993997
hawkes,554.197288218432
hawkes,554.936849793169
hawkes,555.257878978362
hawkes,556.81232193542
hawkes,556.846988361488
hawkes,556.900238147677
hawkes,557.457552067375
hawkes,557.463144156183
hawkes,557.694440332845
hawkes,558.391361252637
hawkes,558.931579078231
hawkes,559.27672136063
hawkes,559.711584268445
hawkes,559.898799305446
hawkes,559.94536589914
hawkes,559.962347366221
hawkes,560.142393195579
hawkes,560.230953450741
hawkes,560.819737860487
hawkes,568.653410142588
hawkes,568.770749322836
hawkes,570.596842648561
hawkes,570.82881478804
hawkes,571.08947858546
hawkes,571.536023981863
hawkes,571.662390541495
hawkes,572.205198766456
hawkes,572.237155951697
hawkes,575.149760342228
hawkes,577.071823634874
hawkes,577.777524466182
hawkes,578.732570747912
hawkes,578.755840837028
hawkes,579.165110174113
hawkes,586.542651809895
hawkes,586.733356645783
hawkes,588.718915937635
hawkes,590.382985070355
hawkes,590.450163516375
hawkes,591.021902994271
hawkes,591.239522755383
hawkes,591.700293730529
hawkes,592.002922280006
hawkes,592.743930030774
hawkes,593.13177508548
hawkes,593.162828895003
hawkes,593.444264404884
hawkes,593.531264774561
hawkes,593.901964453913
hawkes,594.00316267024
hawkes,594.407030269992
hawkes,595.341828161294
hawkes,595.360602615986
hawkes,595.428370549934
hawkes,595.56948438281
hawkes,595.832599455271
hawkes,596.802711638281
hawkes,596.967473797552
hawkes,598.121660211371
hawkes,601.691591327412
hawkes,602.395421331512
hawkes,602.891782812658
hawkes,603.668272319833
hawkes,603.987090500349
hawkes,608.705809144074
hawkes,610.387208939632
hawkes,611.339297057086
hawkes,612.74579173716
hawkes,612.918815441478
hawkes,615.572135339231
hawkes,621.651762801315
hawkes,627.935801512844
