divipola,municipio,departamento,desercion,wy,vecinos
13620,San Cristóbal,Bolívar,3.18,1.514,5
13647,San Estanislao,Bolívar,3.41,1.8966666667,6
13654,San Jacinto,Bolívar,3.12,3.2475,4
13655,San Jacinto del Cauca,Bolívar,4.47,4.904,5
13657,San Juan Nepomuceno,Bolívar,3.73,2.6071428571,7
13667,San Martín de Loba,Bolívar,5.1,4.2785714286,7
13670,San Pablo,Bolívar,2.39,5.1033333333,6
13673,Santa Catalina,Bolívar,2.73,2.315,6
13683,Santa Rosa,Bolívar,1.76,2.6025,4
13688,Santa Rosa del Sur,Bolívar,3.95,4.5966666667,6
13744,Simití,Bolívar,3.6,3.655,4
13760,Soplaviento,Bolívar,1.08,2.442,5
13780,Talaigua Nuevo,Bolívar,2.15,3.2933333333,6
13810,Tiquisio,Bolívar,3.16,4.30625,8
13836,Turbaco,Bolívar,2.84,2.5916666667,6
13838,Turbaná,Bolívar,3.1,3.035,4
13873,Villanueva,Bolívar,1.11,2.4266666667,6
13894,Zambrano,Bolívar,2.32,2.4266666667,6
15022,Almeida,Boyacá,2.05,2.446,5
15047,Aquitania,Boyacá,3.86,2.1245454545,11
15051,Arcabuco,Boyacá,1.28,2.6528571429,7
15087,Belén,Boyacá,2.8,1.6683333333,6
15090,Berbeo,Boyacá,1.49,1.64,4
15092,Betéitiva,Boyacá,2.4,2.12,7
15097,Boavita,Boyacá,1.64,1.5171428571,7
15104,Boyacá,Boyacá,2.01,2.37,6
15106,Briceño,Boyacá,0.82,1.8166666667,6
15109,Buenavista,Boyacá,2.94,2.308,5
15114,Busbanzá,Boyacá,2.27,2.8233333333,3
15131,Caldas,Boyacá,2.68,2.2533333333,6
15135,Campohermoso,Boyacá,0.69,2.735,6
15162,Cerinza,Boyacá,0.6,2.494,5
15172,Chinavita,Boyacá,1.9,2.0128571429,7
15176,Chiquinquirá,Boyacá,1.94,2.27,6
15180,Chiscas,Boyacá,1.06,1.9983333333,6
05002,Abejorral,Antioquia,2.9,3.3571428571,7
05004,Abriaquí,Antioquia,0,3.2716666667,6
05021,Alejandría,Antioquia,1.42,2.964,5
05030,Amagá,Antioquia,5.04,2.954,5
05034,Andes,Antioquia,4.33,3.4571428571,7
05036,Angelópolis,Antioquia,0.98,3.8928571429,7
05038,Angostura,Antioquia,2.96,2.67,5
05040,Anorí,Antioquia,5.94,4.175,8
05044,Anza,Antioquia,2.19,3.1416666667,6
05055,Argelia,Antioquia,3.13,3.32,4
05059,Armenia,Antioquia,3.64,2.9442857143,7
05091,Betania,Antioquia,2.21,3.69,5
05093,Betulia,Antioquia,2.72,3.3725,4
05101,Ciudad Bolívar,Antioquia,7.45,3.086,5
05107,Briceño,Antioquia,2.8,3.37,5
05113,Buriticá,Antioquia,8.01,2.3466666667,6
05120,Cáceres,Antioquia,5.8,5.3033333333,6
05125,Caicedo,Antioquia,1.86,2.405,4
05134,Campamento,Antioquia,3.74,3.2975,4
05142,Caracolí,Antioquia,3.27,3.1,5
05145,Caramanta,Antioquia,2.24,2.6442857143,7
05148,El Carmen de Viboral,Antioquia,3.55,3.4925,8
05150,Carolina,Antioquia,2.4,3.2175,4
05172,Chigorodó,Antioquia,5.48,5.1725,4
05190,Cisneros,Antioquia,2.35,2.69,2
05197,Cocorná,Antioquia,3.28,4.0316666667,6
05206,Concepción,Antioquia,1.76,3.01,6
05209,Concordia,Antioquia,3.9,3.5433333333,6
05237,Don Matías,Antioquia,6.31,3.2742857143,7
05250,El Bagre,Antioquia,4.61,5.2033333333,6
05264,Entrerrios,Antioquia,1.48,4.125,4
05282,Fredonia,Antioquia,1.89,3.3,8
05284,Frontino,Antioquia,3.37,3.1642857143,7
05306,Giraldo,Antioquia,3.99,3.665,4
05313,Granada,Antioquia,2.99,3.33,6
05318,Guarne,Antioquia,3.99,3.662,5
05321,Guatape,Antioquia,4.28,2.4366666667,6
05347,Heliconia,Antioquia,4.93,2.75,4
05353,Hispania,Antioquia,4.11,4.2875,4
05361,Ituango,Antioquia,3.85,4.5741666667,12
05368,Jericó,Antioquia,2.37,2.68,6
05390,La Pintada,Antioquia,3.66,2.272,5
05400,La Unión,Antioquia,4.27,3.0533333333,3
05425,Maceo,Antioquia,3.05,3.0725,4
05440,Marinilla,Antioquia,3.86,3.324,5
05467,Montebello,Antioquia,3.37,3.0275,4
05483,Nariño,Antioquia,5.19,3.1,4
05495,Nechí,Antioquia,6.44,4.434,5
05501,Olaya,Antioquia,2.49,3.0125,4
05541,Peñol,Antioquia,2.58,3.2133333333,6
05543,Peque,Antioquia,1.74,4.675,6
05576,Pueblorrico,Antioquia,3.16,4.015,6
05579,Puerto Berrío,Antioquia,2.85,3.5633333333,9
05585,Puerto Nare,Antioquia,3.37,3.0616666667,6
05591,Puerto Triunfo,Antioquia,2.57,4.172,5
05604,Remedios,Antioquia,6.53,4.1044444444,9
05607,Retiro,Antioquia,3.41,3.695,6
05628,Sabanalarga,Antioquia,0.64,3.635,6
05642,Salgar,Antioquia,4.21,3.6957142857,7
05647,San Andrés,Antioquia,3.9,1.9885714286,7
05649,San Carlos,Antioquia,2.92,3.3628571429,7
05652,San Francisco,Antioquia,7.46,3.1225,4
05658,San José de la Montaña,Antioquia,0.99,2.94,4
05659,San Juan de Urabá,Antioquia,2.03,4.67,2
05660,San Luis,Antioquia,3.37,3.6942857143,7
05664,San Pedro,Antioquia,3.39,4.4557142857,7
05665,San Pedro de Uraba,Antioquia,3.19,4.0175,4
25295,Gachancipá,Cundinamarca,4.48,3.7616666667,6
25335,Guayabetal,Cundinamarca,2.27,3.075,6
25339,Gutiérrez,Cundinamarca,0.78,3.0883333333,6
25368,Jerusalén,Cundinamarca,3.32,3.77,8
25372,Junín,Cundinamarca,2.11,2.68375,8
25377,La Calera,Cundinamarca,3.85,2.7914285714,7
25386,La Mesa,Cundinamarca,3.58,4.0957142857,7
25394,La Palma,Cundinamarca,2.09,3.16,6
25398,La Peña,Cundinamarca,4.46,1.905,4
25402,La Vega,Cundinamarca,1.95,3.1416666667,6
25407,Lenguazaque,Cundinamarca,2.64,2.6628571429,7
25426,Macheta,Cundinamarca,1.82,2.1733333333,6
25430,Madrid,Cundinamarca,5.4,2.67,7
25436,Manta,Cundinamarca,1.14,2.038,5
25438,Medina,Cundinamarca,4.86,2.875,6
25473,Mosquera,Cundinamarca,2.5,3.214,5
25483,Nariño,Cundinamarca,2.14,3.526,5
25486,Nemocón,Cundinamarca,4.17,3.635,6
25488,Nilo,Cundinamarca,3.69,4.3057142857,7
25489,Nimaima,Cundinamarca,2.61,2.83,7
25491,Nocaima,Cundinamarca,2.27,3.422,5
25506,Venecia,Cundinamarca,2.11,2.29,4
25513,Pacho,Cundinamarca,2.61,3.18,10
25518,Paime,Cundinamarca,3.9,3.0928571429,7
25524,Pandi,Cundinamarca,2.4,2.6575,4
25530,Paratebueno,Cundinamarca,5,4.19375,8
25535,Pasca,Cundinamarca,2.1,3.394,5
25572,Puerto Salgar,Cundinamarca,2.63,3.438,5
25580,Pulí,Cundinamarca,4.1,3.7,4
