divipola,municipio,departamento,desercion,vecinos,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
91530,Puerto Alegría,Amazonas,5.23,4,1.022484961,2.7842454837,2.8493909644,4e-05,High-High,2,2,2,5.4500469244,0.00016,7
91407,La Pedrera,Amazonas,1.79,5,-0.9246495605,-0.4322056553,0.3999955896,0.1662,Low-Low,1,1,1,-1.2631075429,0.162,4
91405,La Chorrera,Amazonas,14.81,6,6.4450281924,0.377213637,2.433323197,0.16456,High-High,1,1,1,3.3017567345,0.16652,4
91669,Puerto Santander,Amazonas,0.75,4,-1.5133181368,1.5630412017,-2.3674905442,0.00508,Low-High,5,1,1,2.1240188358,0.0048,7
97666,Taraira,Vaupés,0,2,-1.9378387446,0.7847534206,-1.5220833741,0.13188,Low-High,1,1,1,-0.2129416498,0.13168,4
91460,Miriti - Paraná,Amazonas,3.27,6,-0.0869288943,-0.3312640886,0.028822132,0.212,Low-Low,1,1,1,-0.7865520018,0.20524,4
91430,La Victoria,Amazonas,0,3,-1.9378387446,1.4130439203,-2.7406961237,0.01528,Low-High,5,1,1,1.1527049113,0.01752,6
86757,San Miguel,Putumayo,6.56,2,1.7753015057,1.8573754898,3.3003456122,0.01216,High-High,2,1,1,3.1739331369,0.01152,6
86568,Puerto Asís,Putumayo,6.08,6,1.5036083166,2.3668002193,3.5619179404,8e-05,High-High,2,1,2,5.954328702,4e-05,7
86573,Leguízamo,Putumayo,8.81,5,3.0488633293,3.0749005933,9.3833221526,4e-05,High-High,2,2,2,7.5415173461,4e-05,7
52560,Potosí,Nariño,1.32,3,-1.1906824748,0.0621250081,-0.074037204,0.42268,Low-High,1,1,1,-0.5030520332,0.42744,4
97511,Pacoa,Vaupés,7.83,8,2.4941564017,-0.0940042377,-0.2346706117,0.41132,High-Low,1,1,1,0.5830527496,0.4136,4
52356,Ipiales,Nariño,2.48,10,-0.5340906012,-0.4435262049,0.2370946803,0.07148,Low-Low,1,1,1,-1.5057219861,0.07108,3
86320,Orito,Putumayo,6.64,10,1.8205837038,-0.0122132673,-0.0222551283,0.4964,High-Low,1,1,1,0.5146334422,0.49316,4
52022,Aldana,Nariño,1.32,4,-1.1906824748,-1.0576660176,1.260468806,0.00644,Low-Low,3,1,1,-2.4299250385,0.00684,1
18785,Solita,Caquetá,5.41,4,1.1243699069,2.4474591348,2.7543064079,0.00024,High-High,2,1,2,4.8919033855,2e-04,7
52317,Guachucal,Nariño,0.71,6,-1.5359592358,-1.1180422819,1.7188006433,0.00068,Low-Low,3,1,3,-3.1257942709,0.00096,1
52506,Ospina,Nariño,0.73,5,-1.5246386863,-1.2495493324,1.9068122448,0.00028,Low-Low,3,1,3,-3.1815889661,0.00044,1
86571,Puerto Guzmán,Putumayo,11.5,8,4.5714772429,1.4830898206,6.7859648562,2e-04,High-High,2,1,2,5.5008583832,0.00016,7
86885,Villagarzón,Putumayo,5.65,6,1.2602165014,0.618718694,0.780415686,0.07084,High-High,1,1,1,1.8853348101,0.06664,5
97889,Yavaraté,Vaupés,8.39,1,2.8111317889,0.9262602899,2.6061646026,0.169,High-High,1,1,1,2.6450959223,0.1684,4
18205,Curillo,Caquetá,7.83,6,2.4941564017,1.7366229614,4.3352766061,0.00036,High-High,2,1,2,4.8963044464,0.00044,7
18756,Solano,Caquetá,6.66,16,1.8319042534,1.5701165452,2.8788713052,4e-05,High-High,2,2,2,6.5873890048,4e-05,7
86755,San Francisco,Putumayo,2.92,5,-0.2850385113,0.5957002432,-0.1699491154,0.09836,Low-High,1,1,1,1.1025561444,0.0994,5
52001,Pasto,Nariño,2.1,10,-0.7491810426,-0.2657935771,0.1993053016,0.1996,Low-Low,1,1,1,-1.0323619706,0.20216,4
52683,Sandoná,Nariño,2.15,5,-0.7208796687,-0.7933311858,0.5724069441,0.02536,Low-Low,3,1,1,-1.9188203965,0.0252,2
52435,Mallama,Nariño,2.88,5,-0.3076796104,-1.0876654739,0.3349512861,0.00276,Low-Low,3,1,3,-2.3521006213,0.00228,1
52381,La Florida,Nariño,1.71,6,-0.9699317587,-0.7652184878,0.7428724008,0.01952,Low-Low,3,1,1,-2.1085457979,0.01928,2
86001,Mocoa,Putumayo,5.3,8,1.0621068844,0.7670650619,0.8154324983,0.0208,High-High,2,1,1,2.4092332699,0.02228,6
52019,Albán,Nariño,1.72,5,-0.9642714839,-0.7446528227,0.7186885962,0.03452,Low-Low,3,1,1,-1.9188203965,0.03372,2
52260,El Tambo,Nariño,1.69,6,-0.9812523082,-0.9010650823,0.8849616313,0.00552,Low-Low,3,1,1,-2.4218754963,0.00516,1
18150,Cartagena del Chairá,Caquetá,8.76,6,3.0205619554,1.8432248029,5.5725457639,2e-04,High-High,2,1,2,5.3383997743,0.00016,7
52678,Samaniego,Nariño,2.43,8,-0.5623919751,-0.5355056699,0.3014329879,0.05228,Low-Low,1,1,1,-1.6220033974,0.05628,3
94885,La Guadalupe,Guainía,1.09,1,-1.3208687945,1.1526712808,-1.5238869247,0.121,Low-High,1,1,1,-0.1190398407,0.1278,4
52693,San Pablo,Nariño,1.4,5,-1.1454002766,-0.2952270059,0.3384550166,0.2652,Low-Low,1,1,1,-1.0731130058,0.25964,4
97161,Caruru,Vaupés,3.54,5,0.0658985246,0.773432871,0.0510135923,0.0524,High-High,1,1,1,1.6099805788,0.04588,6
97001,Mitú,Vaupés,5.06,5,0.9262602899,0.3353276037,0.3108779654,0.21168,High-High,1,1,1,1.0654840396,0.21388,4
52079,Barbacoas,Nariño,4.81,7,0.7847534206,-0.4273539913,-0.3356669417,0.12508,High-Low,1,1,1,-0.7829938501,0.11784,4
52540,Policarpa,Nariño,3.66,5,0.1338218218,-0.5827689643,-0.0780568359,0.08388,High-Low,1,1,1,-1.1379891892,0.08552,3
95200,Miraflores,Guaviare,5.74,5,1.3111589744,1.0077682466,1.3225241524,0.0202,High-High,2,1,1,2.5993423755,0.0198,6
52835,San Andres de Tumaco,Nariño,3.83,4,0.230046493,-0.6883330888,-0.1584899957,0.0716,High-Low,1,1,1,-1.1309728025,0.06912,3
05615,Rionegro,Antioquia,4.1,8,0.3828739118,0.0057581051,0.0022065967,0.472,High-Low,1,1,1,0.1435570227,0.47092,4
20443,Manaure,Cesar,3.84,2,0.2357067677,0.7026794364,0.1657741793,0.149,High-High,1,1,1,0.9487400403,0.15116,4
94001,Inírida,Guainía,5.19,6,0.9998438619,0.42815611,0.428471481,0.14332,High-High,1,1,1,1.3531035416,0.145,4
27580,Río Iro,Chocó,2.43,4,-0.5623919751,-0.4421111362,0.2488617549,0.19172,Low-Low,1,1,1,-1.0447142556,0.18628,4
95025,El Retorno,Guaviare,5.32,6,1.073427434,0.6064547653,0.6515664193,0.07684,High-High,1,1,1,1.7866144942,0.07576,5
94887,Pana Pana,Guainía,0.32,5,-1.7567099519,0.67494409,-1.1867396437,0.07248,Low-High,1,1,1,0.6623248999,0.07196,5
94883,San Felipe,Guainía,5.46,2,1.1526712808,-0.8284248894,-0.9557541689,0.10672,High-Low,1,1,1,-0.2914778767,0.10416,4
27413,Lloró,Chocó,0.37,5,-1.7284085781,-0.8838955821,1.5290967533,0.01168,Low-Low,3,1,1,-2.5166080863,0.0122,2
97777,Papunaua,Vaupés,0,5,-1.9378387446,0.8062624647,-1.5638016484,0.04396,Low-High,5,1,1,0.8569534501,0.04472,6
54344,Hacarí,Norte de Santander,2.94,4,-0.2737179617,0.377213637,-0.1033423355,0.2074,Low-High,1,1,1,0.5536058786,0.20832,4
54720,Sardinata,Norte de Santander,5.27,9,1.0451260601,0.2891649183,0.3024836256,0.18408,High-High,1,1,1,1.1586551951,0.18588,4
66075,Balboa,Risaralda,6.48,6,1.7300193075,1.498891421,2.5954263758,0.00092,High-High,2,1,2,4.0657661361,0.0012,7
85001,Yopal,Casanare,3.28,8,-0.0812686195,0.0383046851,-0.0031157483,0.43292,Low-High,1,1,1,0.0753594099,0.43448,4
85430,Trinidad,Casanare,4.73,5,0.7394712224,0.79833808,0.5908751324,0.04572,High-High,2,1,1,1.9366785023,0.04448,6
15001,Tunja,Boyacá,2.82,10,-0.341641259,-0.6852199376,0.2343084195,0.00892,Low-Low,3,1,1,-2.1797454863,0.00808,1
52427,Magüi,Nariño,3.61,7,0.105520448,-0.2931246181,-0.0309582577,0.22264,High-Low,1,1,1,-0.6906079751,0.22468,4
52405,Leiva,Nariño,3.73,4,0.1734437452,-0.0048549101,-0.0008428056,0.47508,High-Low,1,1,1,0.0690358061,0.47156,4
95015,Calamar,Guaviare,2.67,6,-0.4265453806,1.7007745545,-0.7261052595,0.00056,Low-High,5,1,5,3.7073684674,0.00048,7
52621,Roberto Payán,Nariño,1.07,6,-1.3321893441,-0.3680558746,0.4907579,0.18576,Low-Low,1,1,1,-1.3423903024,0.18284,4
52520,Francisco Pizarro,Nariño,1.72,3,-0.9642714839,-0.7812559329,0.7540154453,0.07452,Low-Low,1,1,1,-1.656978534,0.07212,3
50350,La Macarena,Meta,8.03,5,2.6073618971,1.0587107195,2.7629066705,0.01696,High-High,2,1,1,3.2342021701,0.01748,6
52473,Mosquera,Nariño,1.23,4,-1.2416249477,-0.7972933781,0.9908232233,0.03916,Low-Low,3,1,1,-1.9859472235,0.03792,2
52490,Olaya Herrera,Nariño,1.44,4,-1.1227591775,-0.5921084176,0.6653887271,0.1062,Low-Low,1,1,1,-1.5648025532,0.1044,4
52696,Santa Bárbara,Nariño,1.71,2,-0.9699317587,-0.8001235155,0.7767581239,0.11072,Low-Low,1,1,1,-1.4858829947,0.11152,4
52390,La Tola,Nariño,3.6,3,0.0998601732,-0.590693349,-0.0590394069,0.15116,High-Low,1,1,1,-0.8376056624,0.1462,4
41349,Hobo,Huila,3.91,4,0.2753286911,-0.000609704,-0.0001680189,0.46788,High-Low,1,1,1,0.1223131439,0.46792,4
52250,El Charco,Nariño,2.09,9,-0.7548413173,0.0614960886,-0.0464612348,0.40824,Low-High,1,1,1,-0.0639667974,0.415,4
19318,Guapi,Cauca,1.93,4,-0.8454057137,-0.4378659301,0.370504872,0.18488,Low-Low,1,1,1,-1.1639540116,0.1936,4
94888,Morichal,Guainía,10,6,3.7224360271,-0.0274960092,-0.1024435209,0.49888,High-Low,1,1,1,1.3488113539,0.49512,4
95001,San José del Guaviare,Guaviare,5.02,9,0.9036191908,2.2136583408,2.0020901444,4e-05,High-High,2,2,2,6.615504823,4e-05,7
19809,Timbiquí,Cauca,2.03,4,-0.788802966,0.1720286765,-0.1358178881,0.33772,Low-High,1,1,1,-0.0451299177,0.34356,4
18753,San Vicente del Caguán,Caquetá,7.8,11,2.4771755774,1.1140784982,2.7622321257,0.00068,High-High,2,1,2,4.2757201433,0.00064,7
50450,Puerto Concordia,Meta,8.87,3,3.0828249779,2.5601929407,7.899673734,6e-04,High-High,2,1,2,5.3913292814,0.00064,7
50590,Puerto Rico,Meta,6.53,5,1.7583206813,2.4488742035,4.3097507171,0.00012,High-High,2,1,2,5.7319352307,4e-05,7
94884,Puerto Colombia,Guainía,2.83,4,-0.3359809842,-0.0982494438,0.033039418,0.44728,Low-Low,1,1,1,-0.3267387033,0.44984,4
50711,Vistahermosa,Meta,6.8,7,1.9111481002,1.2157429139,2.3255392824,0.00308,High-High,2,1,2,3.6977210867,0.00256,7
