x,y
4874255.73178254,2072087.63883727
4873684.35041249,2070147.22317048
4871625.86701335,2067568.86492362
4870704.63286144,2070515.27835009
4872359.16241125,2069185.63124003
4871457.16107547,2068311.90072541
4873573.11403788,2066643.49285423
4869631.29838559,2068006.22995746
4872766.91770248,2069616.11824527
4872180.55536803,2066988.35226065
4870969.92335564,2068610.01099904
4869833.47381045,2067690.79343605
4869651.61030984,2068485.0749313
4873445.49104777,2069754.13539081
4871243.39425634,2070572.30311418
4872333.62356191,2066947.26734837
4871911.9333242,2069533.99420581
4870896.26881399,2069191.81168819
4873763.28285392,2071155.97085323
4869921.71856494,2067430.20946364
4873971.37503833,2071264.1518367
4870385.72121669,2070068.21383798
4869347.39281217,2071335.30700105
4873489.33683904,2071034.78514296
4874734.9507483,2067844.38923487
4874685.60636404,2070100.44404021
4874087.50761073,2069348.14778846
4873935.22507763,2071184.80733925
4870363.23570269,2067267.72872294
4870812.9118562,2067926.2476244
4870501.44861145,2067840.47757191
4869580.44002189,2067651.98746308
4870907.58088728,2070223.93877462
4873772.97626263,2068583.42110772
4874159.39422834,2071057.59614739
4870058.67258183,2069085.76778159
4873096.16104135,2067773.4367574
4872785.47731465,2069993.02941906
4873387.33858276,2070190.41670312
4873333.24980408,2068992.59463603
4871416.47425758,2070754.12228293
4873013.64674788,2070564.49278722
4873345.93155924,2068809.73416119
4873208.2083514,2066920.32947452
4871228.166499,2068393.95828445
4869991.78718214,2070824.9744667
4874159.73045684,2072120.97291989
4869661.12602056,2070893.26020356
4871899.71712539,2068189.6471343
4872043.05433412,2068951.24365782
4873011.44818719,2070060.98032866
4870981.26821369,2070327.63431263
4869903.61686638,2067091.84033262
4873448.52363603,2069269.67209301
4872354.59179416,2069494.39414334
4872594.15926002,2070193.10979618
4872270.44502083,2067064.85206275
4871080.16447453,2070435.41294464
4870853.72338188,2067738.8896649
4871636.83479822,2067919.78175009
4874665.09861787,2070166.13392034
4873114.50298938,2066053.51323887
4871057.60261979,2070819.93075298
4870753.45248322,2070293.83104195
4872946.73860141,2066628.06256697
4873771.87905462,2069659.30529045
4874405.38803017,2069419.72267384
4871224.72939131,2071095.93415244
4872499.63499417,2071251.02695627
4870394.01870429,2066956.64143388
4870932.95460532,2070536.12237263
4869275.58190701,2070033.46867018
4873891.30491504,2070358.23558902
4871619.57448108,2070488.60313682
4873305.7262567,2070688.638935
4874752.6419332,2069621.09873165
4871576.96879122,2070778.20064387
4874210.95799063,2072136.41650851
4870493.13952263,2068852.7460242
4870831.44832814,2070621.55282239
4873464.00032245,2070746.33206723
4870707.52372148,2067749.6033855
4871492.68862511,2069311.35002414
4869681.63409913,2067971.36434123
4873961.68876475,2071036.96999059
4875088.39914985,2068841.11237619
4870234.78519971,2068504.73652552
4872187.35212239,2068589.21313163
4873388.29177557,2067309.97546378
4871983.79163843,2068886.36195954
4872358.68565746,2068605.70191551
4872173.41092789,2067149.30757223
4870264.97265345,2067966.88306153
4871625.14345723,2070869.18977844
4872293.18619954,2070045.16529334
4869810.81381684,2067725.43567313
4869804.18070994,2067748.74911189
4870850.36648934,2071394.57242398
4873479.65741024,2068548.90919558
4870984.26782604,2068524.72447022
4873119.17524299,2070814.53228225
4873051.8795296,2069619.23557043
4874301.78511446,2069778.20066876
4872873.47623859,2071486.81837765
4874907.30226617,2068120.07661378
4869711.8988285,2067146.13581976
4871266.70557706,2071103.0621926
4872867.63043484,2067869.51485273
4873751.32329198,2070888.43717943
4872824.73553751,2072396.59588361
4871927.15198568,2068173.59215188
4869622.49790113,2069629.5833042
4870218.40159293,2070250.72850313
4873982.32353218,2069479.50840438
4872340.41766437,2068863.61260437
4872390.47363948,2068749.03686059
4872592.95720532,2071556.41163472
4871625.14345723,2070869.18977844
4870249.06904136,2070916.84110142
4869661.12602056,2070893.26020356
4870469.46126712,2070766.23107527
4873861.12285536,2066704.15932486
4872008.2560686,2068913.08527762
4870423.10625446,2067880.2921551
4869978.43360171,2068150.61408782
