x,y,dane_sede,sector,clase,zona,estrato
4883950.59095591,2073896.65183003,311001019568,No oficial,Privado,Urbana,6
4883563.99628101,2071579.7655073,311001019941,No oficial,Privado,Urbana,
4882313.93953174,2071106.55850552,311001031134,No oficial,Privado,Urbana,4
4882376.448666,2071625.53260229,311001087440,No oficial,Privado,Urbana,3
4882325.64914385,2072748.45429348,311001088403,No oficial,Privado,Urbana,4
4883799.96882422,2074011.09879569,311001104492,No oficial,Privado,Urbana,6
4882458.12697165,2072497.87946449,311001104549,No oficial,Privado,Urbana,4
4883431.88136246,2071691.76471099,311001108137,No oficial,Privado,Urbana,
4882218.8538417,2069920.10469473,311001110034,No oficial,Privado,Urbana,4
4882404.80025694,2072869.73754982,311001800308,No oficial,Privado,Urbana,3
4882959.59656538,2071788.68409319,311001800847,No oficial,Privado,Urbana,4
4881598.95662165,2068002.08823692,111001009831,Oficial,Distrital,Urbana,
4881447.27829559,2066927.40121676,111001015326,Oficial,Distrital,Urbana,3
4881652.43401471,2068637.82940432,111001010839,Oficial,Distrital,Urbana,3
4881227.66118958,2064265.62699571,111001013242,Oficial,Distrital,Urbana,
4881021.89178267,2064201.10809858,111001086371,Oficial,Distrital,Urbana,2
4881213.95802754,2063894.42649163,111001801390,Oficial,Distrital,Urbana,
4880978.99044782,2065030.10177315,111001032409,Oficial,Distrital,Urbana,2
4880980.67394672,2064696.31078233,111001015563,Oficial,Distrital,Urbana,2
4881317.04297761,2065121.75609951,111001015512,Oficial,Distrital,Urbana,2
4879990.46729849,2065523.64239161,111001036544,Oficial,Distrital,Urbana,2
4879734.06806085,2065665.13711518,111001015491,Oficial,Distrital,Urbana,2
4881962.1523402,2068337.38588429,111001094901,Oficial,Distrital,Urbana,2
4880335.79802548,2064515.04403411,111001100030,Oficial,Distrital - administracion contratada,Urbana,2
4881479.73064494,2068351.58820682,311001000328,No oficial,Privado,Urbana,4
4881852.10556398,2067511.31674948,311001007021,No oficial,Privado,Urbana,3
4881229.06652391,2066918.96031581,311001008540,No oficial,Privado,Urbana,3
4879587.17500722,2065593.02585757,311001008949,No oficial,Privado,Urbana,2
4881930.52847137,2068653.79316984,311001010820,No oficial,Privado,Urbana,3
4880875.95003464,2067644.78680478,311001017727,No oficial,Privado,Urbana,2
4881955.30037673,2065121.46838416,311001024383,No oficial,Privado,Urbana,2
4881565.56544322,2065024.77903754,311001026441,Oficial,Distrital,Urbana,2
4881720.57657342,2065006.82547091,111001013463,Oficial,Distrital,Urbana,2
4881735.39452387,2065431.17440976,111001013412,Oficial,Distrital,Urbana,2
4880420.6737529,2065227.99487427,311001035857,No oficial,Privado,Urbana,2
4881517.59348194,2064955.24307291,311001089345,No oficial,Privado,Urbana,2
4881477.73018886,2069084.82394685,311001092532,No oficial,Privado,Urbana,3
4881771.6140171,2068921.92866458,311001800332,No oficial,Privado,Urbana,3
4881990.6359693,2065298.17715569,311769001757,No oficial,Privado,Urbana,2
4878581.87667098,2062982.44668563,111001000353,No oficial,Privado,Urbana,3
4881337.55289718,2062856.88017982,111001011975,Oficial,Distrital,Urbana,1
4878603.71556078,2063219.52112451,111001012033,Oficial,Distrital,Urbana,
4878445.63108065,2063258.99866112,111001801438,Oficial,Distrital,Urbana,3
4880822.44549824,2062976.10861824,111001012246,Oficial,Distrital,Urbana,1
4879769.9865153,2060453.57023417,111001012301,Oficial,Distrital,Urbana,2
4879614.94717449,2058752.10271708,111001012335,Oficial,Distrital,Urbana,2
4879231.18549803,2058877.15327948,111001086576,Oficial,Distrital,Urbana,2
4879249.93057884,2058891.15983935,111001014184,Oficial,Distrital,Urbana,2
4879685.81648007,2060362.45090439,111001014168,Oficial,Distrital,Urbana,2
4879544.47647743,2059705.29505789,111001014192,Oficial,Distrital,Urbana,2
4879177.42515477,2060197.06097726,111001012378,Oficial,Distrital,Urbana,2
4880304.46248945,2063035.74323998,111001014176,Oficial,Distrital,Urbana,2
4880147.25924325,2062987.46540477,111001012220,Oficial,Distrital,Urbana,2
4879973.56454551,2063269.58665794,111001000213,Oficial,Distrital,Urbana,2
4879834.58694253,2062229.01046019,111001014451,Oficial,Distrital,Urbana,2
4879924.9503481,2061913.70316644,111001012211,Oficial,Distrital,Urbana,1
4879354.02453775,2062715.49691628,111001015903,Oficial,Distrital,Urbana,3
4879175.55263886,2062383.04868554,111001015938,Oficial,Distrital,Urbana,2
4879711.50284563,2061168.20663455,111001015911,Oficial,Distrital,Urbana,2
4879362.61663903,2060939.27466521,111001015920,Oficial,Distrital,Urbana,2
4879984.56839652,2061375.89559321,111001801454,Oficial,Distrital,Urbana,
4878884.50455714,2058701.07132209,111001016004,Oficial,Distrital,Urbana,2
4879153.46827046,2058970.61596225,111001016012,Oficial,Distrital,Urbana,2
4877919.16042412,2061894.58093743,111001018252,Oficial,Distrital,Urbana,2
4878717.38132972,2061619.10826043,111001018309,Oficial,Distrital,Urbana,2
4878810.63424664,2061941.86627118,111001018325,Oficial,Distrital,Urbana,2
4879305.15947687,2061481.36435356,111001020451,Oficial,Distrital,Urbana,2
4878549.89553357,2061007.51040805,111001018333,Oficial,Distrital,Urbana,2
4878840.54609808,2060417.16776511,111001016284,Oficial,Distrital,Urbana,2
4878756.1263514,2062543.0325126,111001018341,Oficial,Distrital,Urbana,2
4878591.48350975,2062635.33657402,111001018414,Oficial,Distrital,Urbana,
4878751.43781817,2061111.81446631,111001018368,Oficial,Distrital,Urbana,2
4878716.21470686,2061331.72854948,111001018406,Oficial,Distrital,Urbana,2
4877902.20909193,2062587.2839916,111001018384,Oficial,Distrital,Urbana,3
4877804.44468628,2062415.48911259,111001035548,Oficial,Distrital,Urbana,2
4879647.93280199,2063810.15249043,111001020338,No oficial,Privado,Urbana,3
4878297.51724037,2060644.9665131,111001020443,Oficial,Distrital,Urbana,2
4877920.10033504,2060451.06195245,111001029106,Oficial,Distrital,Urbana,2
4878164.21996482,2060235.9284812,111001032468,Oficial,Distrital,Urbana,
4878715.70442468,2059889.83392477,111001041548,Oficial,Distrital,Urbana,2
4880177.34538441,2059922.09759226,111001024686,Oficial,Distrital,Urbana,
