"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"311848002611","Usaquen",NA,-74.04440046,4.7365100263,4884218.59373593,2081465.80596346
"311848002866","Usaquen",2,-74.0326216404,4.7630959993,4885528.9106536,2084401.90013609
"311848002874","Usaquen",3,-74.04106091,4.7532037556,4884591.62723076,2083310.0989139
"311848003102","Usaquen",6,-74.0307461997,4.6889165198,4885724.6826463,2076203.93285552
"311848003463","Usaquen",3,-74.0430896204,4.7556565466,4884367.11591479,2083581.49983621
"311848003633","Usaquen",3,-74.0395740797,4.7398440418,4884754.25314161,2081833.44918671
"311848003714","Usaquen",4,-74.0444452698,4.7275610752,4884212.13822882,2080476.85053583
"311848004206","Usaquen",5,-74.0497981697,4.70952857,4883615.64263067,2078484.940935
"311848004311","Usaquen",3,-74.0380559197,4.7655191414,4884926.83231334,2084670.58925909
"311848004672","Usaquen",3,-74.0267053997,4.7325729708,4886179.82080629,2081027.7897884
"411001108271","Usaquen",NA,-74.0295634096,4.7445585223,4885864.9154733,2082352.79549625
"411001800752","Usaquen",NA,-74.0196778604,4.6741485502,4886949.55029692,2074570.12052991
"111001016314","Chapinero",4,-74.0612539201,4.6543547598,4882336.25437812,2072389.49211631
"111001015261","Chapinero",4,-74.0566587096,4.6483820623,4882844.80657609,2071728.67440697
"111001020249","Chapinero",2,-74.054,4.6409999998,4883138.40407283,2070912.43024413
"111001033901","Chapinero",2,-74.02143728,4.6709119052,4886753.94556075,2074212.72007593
"211001014545","Chapinero",2,-74.0301480799,4.6751939116,4885788.77540148,2074687.33686791
"111001034665","Chapinero",1,-74.0591066304,4.6300917456,4882570.34457499,2069707.78418274
"111001014559","Chapinero",1,-74.0612640998,4.6306497539,4882331.19775163,2069769.80811529
"311001000832","Chapinero",5,-74.0553619402,4.658511189,4882990.27273474,2072847.84705679
"311001001022","Chapinero",2,-74.0523255403,4.6476258807,4883325.16857218,2071644.39082155
"311001002070","Chapinero",NA,-74.0526625199,4.6498379054,4883288.16638511,2071888.90091354
"311001002428","Chapinero",5,-74.0542780797,4.6654660514,4883111.60523295,2073616.26121972
"311001004528","Chapinero",6,-74.04940807,4.6645527703,4883651.45567102,2073514.52666707
"311001004706","Chapinero",4,-74.0587686698,4.6495836692,4882611.0408893,2071861.81626883
"311001006784","Chapinero",4,-74.0592621997,4.6537279927,4882557.00226084,2072319.89524496
"311001017492","Chapinero",4,-74.0592621997,4.6537279927,4882557.00226084,2072319.89524496
"311001019568","Chapinero",6,-74.04671544,4.6680145767,4883950.59095591,2073896.65183003
"311001019941","Chapinero",NA,-74.0501708601,4.6470443118,4883563.99628101,2071579.7655073
"311001031134","Chapinero",4,-74.06143779,4.6427454783,4882313.93953174,2071106.55850552
"311001087440","Chapinero",3,-74.0608810896,4.6474424077,4882376.448666,2071625.53260229
"311001088403","Chapinero",4,-74.0613544299,4.657602783,4882325.64914385,2072748.45429348
"311001104492","Chapinero",6,-74.0480753699,4.6690481576,4883799.96882422,2074011.09879569
"311001104549","Chapinero",4,-74.0601563001,4.6553371896,4882458.12697165,2072497.87946449
"311001108137","Chapinero",NA,-74.0513638102,4.6480559943,4883431.88136246,2071691.76471099
"311001110034","Chapinero",4,-74.06227925,4.6320082332,4882218.8538417,2069920.10469473
"311001800308","Chapinero",3,-74.0606422599,4.658701325,4882404.80025694,2072869.73754982
"311001800847","Chapinero",4,-74.0556243103,4.6489266294,4882959.59656538,2071788.68409319
"111001009831","Santa Fe",NA,-74.06784352,4.6146441357,4881598.95662165,2068002.08823692
"111001015326","Santa Fe",3,-74.0691967897,4.6049174889,4881447.27829559,2066927.40121676
"111001010839","Santa Fe",3,-74.0673698698,4.6203975341,4881652.43401471,2068637.82940432
"111001013242","Santa Fe",NA,-74.0711412902,4.5808287506,4881227.66118958,2064265.62699571
"111001086371","Santa Fe",2,-74.0729959196,4.5802421519,4881021.89178267,2064201.10809858
"111001801390","Santa Fe",NA,-74.0712598597,4.5774696597,4881213.95802754,2063894.42649163
"111001032409","Santa Fe",2,-74.0733939703,4.5877429329,4880978.99044782,2065030.10177315
"111001015563","Santa Fe",2,-74.0733742801,4.5847225626,4880980.67394672,2064696.31078233
"111001015512","Santa Fe",2,-74.07034683,4.5885768691,4881317.04297761,2065121.75609951
"111001036544","Santa Fe",2,-74.0823146498,4.5921953868,4879990.46729849,2065523.64239161
"111001015491","Santa Fe",2,-74.0846286596,4.59347222,4879734.06806085,2065665.13711518
"111001094901","Santa Fe",2,-74.0645728097,4.6176830894,4881962.1523402,2068337.38588429
"111001100030","Santa Fe",2,-74.0791869298,4.5830735642,4880335.79802548,2064515.0440341
"211001027485","Santa Fe",NA,-74.0240000002,4.583,4886455.78049711,2064497.93812607
"311001000328","Santa Fe",4,-74.0689234099,4.6178050589,4881479.73064494,2068351.58820682
"311001007021","Santa Fe",3,-74.0655540503,4.6102066878,4881852.10556398,2067511.31674948
"311001008540","Santa Fe",3,-74.0711644398,4.6048381479,4881229.06652391,2066918.96031581
"311001008949","Santa Fe",2,-74.0859522796,4.5928176891,4879587.17500722,2065593.02585757
"311001010820","Santa Fe",3,-74.0648622604,4.6205457588,4881930.52847137,2068653.79316984
"311001017727","Santa Fe",2,-74.0743585902,4.6114011649,4880875.95003464,2067644.78680478
"311001024383","Santa Fe",2,-74.0645913501,4.5885828748,4881955.30037673,2065121.46838416
"311001026441","Santa Fe",2,-74.0681044797,4.5877027036,4881565.56544322,2065024.77903754
"111001013463","Santa Fe",2,-74.0667064298,4.5875423362,4881720.57657342,2065006.82547091
"111001013412","Santa Fe",2,-74.0665785097,4.591382374,4881735.39452387,2065431.17440976
"311001035857","Santa Fe",2,-74.0784312499,4.5895260271,4880420.6737529,2065227.99487427
"311001089345","Santa Fe",2,-74.06853613,4.5870728412,4881517.59348194,2064955.24307291
"311001092532","Santa Fe",3,-74.0689513898,4.624439906,4881477.73018886,2069084.82394685
"311001800332","Santa Fe",3,-74.0662989603,4.6229699001,4881771.6140171,2068921.92866458
"311769001757","Santa Fe",2,-74.0642750802,4.5901823492,4881990.6359693,2065298.17715569
"111001000353","San Cristobal",3,-74.0949815897,4.569181497,4878581.87667098,2062982.44668563
"111001011975","San Cristobal",1,-74.0701314302,4.5680828111,4881337.55289718,2062856.88017982
"111001012033","San Cristobal",NA,-74.0947879201,4.5713270123,4878603.71556078,2063219.52112451
"111001801438","San Cristobal",3,-74.0962139399,4.5716820522,4878445.63108065,2063258.99866112
"111001012246","San Cristobal",1,-74.0747778699,4.5691547308,4880822.44549824,2062976.10861824
"111001012301","San Cristobal",2,-74.0842339004,4.5463146653,4879769.9865153,2060453.57023417
