divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
23586,Pur<U+00ED>sima,C<U+00F3>rdoba,Municipio,4.05,2,4,3,2,2
23660,Sahag<U+00FA>n,C<U+00F3>rdoba,Municipio,2.81,1,2,2,1,1
23670,San Andr<U+00E9>s Sotavento,C<U+00F3>rdoba,Municipio,3.44,2,3,3,2,2
23672,San Antero,C<U+00F3>rdoba,Municipio,2.93,1,3,2,1,1
23675,San Bernardo del Viento,C<U+00F3>rdoba,Municipio,2.33,1,2,2,1,1
23678,San Carlos,C<U+00F3>rdoba,Municipio,4.04,2,4,3,2,2
23682,San Jos<U+00E9> de Ur<U+00E9>,C<U+00F3>rdoba,Municipio,8.54,3,5,5,3,2
23686,San Pelayo,C<U+00F3>rdoba,Municipio,3.18,2,3,2,1,1
23815,Tuch<U+00ED>n,C<U+00F3>rdoba,Municipio,3.07,2,3,2,1,1
23855,Valencia,C<U+00F3>rdoba,Municipio,4.51,2,4,3,2,2
25001,Agua de Dios,Cundinamarca,Municipio,3.67,2,4,3,2,2
25019,Alb<U+00E1>n,Cundinamarca,Municipio,7.29,3,5,5,3,2
25035,Anapoima,Cundinamarca,Municipio,2.82,1,2,2,1,1
25040,Anolaima,Cundinamarca,Municipio,4.05,2,4,3,2,2
25053,Arbel<U+00E1>ez,Cundinamarca,Municipio,3.14,2,3,2,1,1
25086,Beltr<U+00E1>n,Cundinamarca,Municipio,4.39,2,4,3,2,2
25095,Bituima,Cundinamarca,Municipio,2.1,1,2,2,1,1
25099,Bojac<U+00E1>,Cundinamarca,Municipio,2.36,1,2,2,1,1
25120,Cabrera,Cundinamarca,Municipio,1.38,1,1,1,1,1
25123,Cachipay,Cundinamarca,Municipio,5.27,2,5,4,2,2
25126,Cajic<U+00E1>,Cundinamarca,Municipio,3.29,2,3,3,1,1
25148,Caparrap<U+00ED>,Cundinamarca,Municipio,3.42,2,3,3,1,1
25151,Caqueza,Cundinamarca,Municipio,2.4,1,2,2,1,1
25154,Carmen de Carupa,Cundinamarca,Municipio,2.04,1,2,2,1,1
25168,Chaguan<U+00ED>,Cundinamarca,Municipio,5.38,2,5,4,2,2
25175,Ch<U+00ED>a,Cundinamarca,Municipio,3.36,2,3,3,1,1
25178,Chipaque,Cundinamarca,Municipio,1.94,1,2,1,1,1
25181,Choach<U+00ED>,Cundinamarca,Municipio,1.75,1,1,1,1,1
25183,Chocont<U+00E1>,Cundinamarca,Municipio,1.8,1,1,1,1,1
25200,Cogua,Cundinamarca,Municipio,2.74,1,2,2,1,1
25214,Cota,Cundinamarca,Municipio,2.95,1,3,2,1,1
25224,Cucunub<U+00E1>,Cundinamarca,Municipio,3.82,2,4,3,2,2
25245,El Colegio,Cundinamarca,Municipio,4.63,2,4,3,2,2
25258,El Pe<U+00F1><U+00F3>n,Cundinamarca,Municipio,2.12,1,2,2,1,1
25260,El Rosal,Cundinamarca,Municipio,4.33,2,4,3,2,2
25269,Facatativ<U+00E1>,Cundinamarca,Municipio,2.83,1,3,2,1,1
25279,Fomeque,Cundinamarca,Municipio,3.93,2,4,3,2,2
25281,Fosca,Cundinamarca,Municipio,2.12,1,2,2,1,1
25286,Funza,Cundinamarca,Municipio,1.78,1,1,1,1,1
25288,F<U+00FA>quene,Cundinamarca,Municipio,1.22,1,1,1,1,1
25290,Fusagasug<U+00E1>,Cundinamarca,Municipio,3.77,2,4,3,2,2
25293,Gachala,Cundinamarca,Municipio,1.32,1,1,1,1,1
25297,Gachet<U+00E1>,Cundinamarca,Municipio,2.57,1,2,2,1,1
25299,Gama,Cundinamarca,Municipio,0.88,1,1,1,1,1
25307,Girardot,Cundinamarca,Municipio,4.05,2,4,3,2,2
25312,Granada,Cundinamarca,Municipio,3.16,2,3,2,1,1
25317,Guachet<U+00E1>,Cundinamarca,Municipio,1.62,1,1,1,1,1
25320,Guaduas,Cundinamarca,Municipio,2.85,1,3,2,1,1
25322,Guasca,Cundinamarca,Municipio,3.12,2,3,2,1,1
25324,Guataqu<U+00ED>,Cundinamarca,Municipio,2.01,1,2,2,1,1
25326,Guatavita,Cundinamarca,Municipio,2.74,1,2,2,1,1
25328,Guayabal de Siquima,Cundinamarca,Municipio,3.49,2,3,3,2,2
63190,Circasia,Quindio,Municipio,3.45,2,3,3,2,2
63212,C<U+00F3>rdoba,Quindio,Municipio,3.47,2,3,3,2,2
63272,Filandia,Quindio,Municipio,3.95,2,4,3,2,2
63302,G<U+00E9>nova,Quindio,Municipio,5.14,2,5,4,2,2
63401,La Tebaida,Quindio,Municipio,5.03,2,5,4,2,2
63470,Montenegro,Quindio,Municipio,5.4,2,5,4,2,2
63548,Pijao,Quindio,Municipio,4.53,2,4,3,2,2
63594,Quimbaya,Quindio,Municipio,4.74,2,4,4,2,2
63690,Salento,Quindio,Municipio,1.95,1,2,1,1,1
66001,Pereira,Risaralda,Municipio,5.49,2,5,4,2,2
66045,Ap<U+00ED>a,Risaralda,Municipio,4.58,2,4,3,2,2
66088,Bel<U+00E9>n de Umbr<U+00ED>a,Risaralda,Municipio,5.06,2,5,4,2,2
66318,Gu<U+00E1>tica,Risaralda,Municipio,3.48,2,3,3,2,2
66383,La Celia,Risaralda,Municipio,3.52,2,3,3,2,2
66400,La Virginia,Risaralda,Municipio,6.15,3,5,4,2,2
66440,Marsella,Risaralda,Municipio,5.28,2,5,4,2,2
66572,Pueblo Rico,Risaralda,Municipio,3.42,2,3,3,1,1
66594,Quinch<U+00ED>a,Risaralda,Municipio,3.78,2,4,3,2,2
66682,Santa Rosa de Cabal,Risaralda,Municipio,5.57,2,5,4,2,2
66687,Santuario,Risaralda,Municipio,7.8,3,5,5,3,2
68013,Aguada,Santander,Municipio,0.44,1,1,1,1,1
68020,Albania,Santander,Municipio,1.3,1,1,1,1,1
68051,Aratoca,Santander,Municipio,1.39,1,1,1,1,1
68077,Barbosa,Santander,Municipio,4.26,2,4,3,2,2
68079,Barichara,Santander,Municipio,1.67,1,1,1,1,1
68081,Barrancabermeja,Santander,Municipio,3.48,2,3,3,2,2
68092,Betulia,Santander,Municipio,3.53,2,3,3,2,2
68101,Bol<U+00ED>var,Santander,Municipio,2.4,1,2,2,1,1
68121,Cabrera,Santander,Municipio,0.42,1,1,1,1,1
68132,California,Santander,Municipio,1.46,1,1,1,1,1
68147,Capitanejo,Santander,Municipio,1.23,1,1,1,1,1
68152,Carcas<U+00ED>,Santander,Municipio,2.25,1,2,2,1,1
68160,Cepit<U+00E1>,Santander,Municipio,5.59,2,5,4,2,2
68162,Cerrito,Santander,Municipio,3.19,2,3,2,1,1
68167,Charal<U+00E1>,Santander,Municipio,2.41,1,2,2,1,1
68169,Charta,Santander,Municipio,3.79,2,4,3,2,2
68176,Chima,Santander,Municipio,1.18,1,1,1,1,1
68179,Chipat<U+00E1>,Santander,Municipio,0.4,1,1,1,1,1
68190,Cimitarra,Santander,Municipio,4.13,2,4,3,2,2
68207,Concepci<U+00F3>n,Santander,Municipio,2.42,1,2,2,1,1
68209,Confines,Santander,Municipio,2.21,1,2,2,1,1
68211,Contrataci<U+00F3>n,Santander,Municipio,0.18,1,1,1,1,1
68217,Coromoro,Santander,Municipio,1.71,1,1,1,1,1
68229,Curit<U+00ED>,Santander,Municipio,3.31,2,3,3,1,1
68235,El Carmen de Chucur<U+00ED>,Santander,Municipio,4.06,2,4,3,2,2
68245,El Guacamayo,Santander,Municipio,1.08,1,1,1,1,1
68250,El Pe<U+00F1><U+00F3>n,Santander,Municipio,2.84,1,3,2,1,1
68255,El Play<U+00F3>n,Santander,Municipio,3.18,2,3,2,1,1
68264,Encino,Santander,Municipio,1.53,1,1,1,1,1
68266,Enciso,Santander,Municipio,1.54,1,1,1,1,1
68271,Flori<U+00E1>n,Santander,Municipio,2.38,1,2,2,1,1
68276,Floridablanca,Santander,Municipio,4.82,2,5,4,2,2
68296,Gal<U+00E1>n,Santander,Municipio,1.69,1,1,1,1,1
68298,Gambita,Santander,Municipio,2.18,1,2,2,1,1
68318,Guaca,Santander,Municipio,3.04,2,3,2,1,1
68320,Guadalupe,Santander,Municipio,1.95,1,2,1,1,1
68322,Guapot<U+00E1>,Santander,Municipio,3.53,2,3,3,2,2
68324,Guavat<U+00E1>,Santander,Municipio,5.14,2,5,4,2,2
68327,G<U+00FC>epsa,Santander,Municipio,4.66,2,4,3,2,2
68344,Hato,Santander,Municipio,2.31,1,2,2,1,1
68368,Jes<U+00FA>s Mar<U+00ED>a,Santander,Municipio,1.94,1,2,1,1,1
68370,Jord<U+00E1>n,Santander,Municipio,2.58,1,2,2,1,1
68377,La Belleza,Santander,Municipio,3.65,2,4,3,2,2
68385,Land<U+00E1>zuri,Santander,Municipio,3.72,2,4,3,2,2
68397,La Paz,Santander,Municipio,1.92,1,2,1,1,1
68406,Lebr<U+00ED>ja,Santander,Municipio,4.82,2,5,4,2,2
68418,Los Santos,Santander,Municipio,2.2,1,2,2,1,1
68425,Macaravita,Santander,Municipio,1.2,1,1,1,1,1
47058,Ariguan<U+00ED>,Magdalena,Municipio,1.78,1,1,1,1,1
47161,Cerro San Antonio,Magdalena,Municipio,6.28,3,5,4,2,2
47170,Chibolo,Magdalena,Municipio,3.18,2,3,2,1,1
47189,Ci<U+00E9>naga,Magdalena,Municipio,5.29,2,5,4,2,2
47205,Concordia,Magdalena,Municipio,3.97,2,4,3,2,2
47245,El Banco,Magdalena,Municipio,2.81,1,2,2,1,1
47258,El Pi<U+00F1>on,Magdalena,Municipio,3.3,2,3,3,1,1
47268,El Ret<U+00E9>n,Magdalena,Municipio,2.15,1,2,2,1,1
47288,Fundaci<U+00F3>n,Magdalena,Municipio,1.57,1,1,1,1,1
47318,Guamal,Magdalena,Municipio,3.19,2,3,2,1,1
47460,Nueva Granada,Magdalena,Municipio,1.5,1,1,1,1,1
47541,Pedraza,Magdalena,Municipio,1.9,1,1,1,1,1
47545,Piji<U+00F1>o del Carmen,Magdalena,Municipio,4.73,2,4,4,2,2
47551,Pivijay,Magdalena,Municipio,5.81,2,5,4,2,2
47555,Plato,Magdalena,Municipio,1.39,1,1,1,1,1
47570,Puebloviejo,Magdalena,Municipio,2.6,1,2,2,1,1
47605,Remolino,Magdalena,Municipio,3.59,2,3,3,2,2
47660,Sabanas de San Angel,Magdalena,Municipio,2.92,1,3,2,1,1
47675,Salamina,Magdalena,Municipio,2.17,1,2,2,1,1
47692,San Sebasti<U+00E1>n de Buenavista,Magdalena,Municipio,1.62,1,1,1,1,1
47703,San Zen<U+00F3>n,Magdalena,Municipio,2.98,2,3,2,1,1
47707,Santa Ana,Magdalena,Municipio,2.02,1,2,2,1,1
47720,Santa B<U+00E1>rbara de Pinto,Magdalena,Municipio,1.7,1,1,1,1,1
47745,Sitionuevo,Magdalena,Municipio,3.83,2,4,3,2,2
47798,Tenerife,Magdalena,Municipio,1.3,1,1,1,1,1
47960,Zapay<U+00E1>n,Magdalena,Municipio,3.4,2,3,3,1,1
47980,Zona Bananera,Magdalena,Municipio,2.44,1,2,2,1,1
50006,Acac<U+00ED>as,Meta,Municipio,4.53,2,4,3,2,2
50110,Barranca de Up<U+00ED>a,Meta,Municipio,6.95,3,5,5,2,2
50124,Cabuyaro,Meta,Municipio,4.47,2,4,3,2,2
50150,Castilla la Nueva,Meta,Municipio,4.57,2,4,3,2,2
50223,Cubarral,Meta,Municipio,4.82,2,5,4,2,2
50226,Cumaral,Meta,Municipio,4.44,2,4,3,2,2
50245,El Calvario,Meta,Municipio,5.7,2,5,4,2,2
50251,El Castillo,Meta,Municipio,3.64,2,4,3,2,2
50270,El Dorado,Meta,Municipio,1.82,1,1,1,1,1
50287,Fuente de Oro,Meta,Municipio,3.77,2,4,3,2,2
50313,Granada,Meta,Municipio,2.94,1,3,2,1,1
50318,Guamal,Meta,Municipio,5.9,2,5,4,2,2
50330,Mesetas,Meta,Municipio,4.01,2,4,3,2,2
50370,Uribe,Meta,Municipio,4.18,2,4,3,2,2
50400,Lejan<U+00ED>as,Meta,Municipio,3.83,2,4,3,2,2
50573,Puerto L<U+00F3>pez,Meta,Municipio,3.76,2,4,3,2,2
